Assembly	IDBA_UD	Ray	SOAPdenovo2	SPAdes
# fully unaligned contigs	0	0	0	0
Fully unaligned length	0	0	0	0
# partially unaligned contigs	319	3	251	478
    # with misassembly	6	0	55	19
    # both parts are significant	67	0	6	158
Partially unaligned length	533420	3729	116993	853574
# N's	9406	878	110215	47022
