Assembly	IDBA_UD	Ray	SOAPdenovo2	SPAdes
# fully unaligned contigs	20053	6857	21087	28661
Fully unaligned length	38837027	15942170	28626572	52077982
# partially unaligned contigs	3031	624	2213	4358
    # with misassembly	284	87	395	294
    # both parts are significant	742	203	250	1215
Partially unaligned length	11712726	2343203	1502717	10309003
# N's	191558	634779	1743687	1316794
