Assembly	# misassemblies	    # relocations	    # translocations	    # inversions	# possibly misassembled contigs	# misassembled contigs	Misassembled contigs length	# local misassemblies	# structural variations	# mismatches	# indels	    # short indels	    # long indels	Indels length
IDBA_UD	9	2	5	2	39	8	19610	7	1	22840	618	553	65	1616
Ray	0	0	0	0	2	0	0	4	0	495	12	12	0	19
SOAPdenovo2	3	1	2	0	11	3	2913	473	0	5370	79	75	4	135
SPAdes	16	3	13	0	88	12	36406	15	2	22708	628	521	107	2025
