Assembly	# misassemblies	    # relocations	    # translocations	    # inversions	# possibly misassembled contigs	# misassembled contigs	Misassembled contigs length	# local misassemblies	# structural variations	# mismatches	# indels	    # short indels	    # long indels	Indels length
IDBA_UD	53	36	15	2	71	33	1788741	27	6	23454	1021	883	138	3392
Ray	11	4	7	0	39	9	28132	388	0	10873	272	242	30	766
SOAPdenovo2	20	14	6	0	44	19	64687	1142	4	22306	501	444	57	1854
SPAdes	46	25	20	1	111	36	738668	21	6	25138	944	808	136	3142
