Assembly	# misassemblies	    # relocations	    # translocations	    # inversions	# possibly misassembled contigs	# misassembled contigs	Misassembled contigs length	# local misassemblies	# structural variations	# mismatches	# indels	    # short indels	    # long indels	Indels length
IDBA_UD	22	21	0	1	38	18	100972	10	9	34039	1198	1051	147	3604
Ray	0	0	0	0	5	0	0	0	0	445	6	5	1	26
SOAPdenovo2	12	12	0	0	11	11	12662	537	6	7751	108	100	8	203
SPAdes	13	13	0	0	72	13	114082	9	11	31923	1079	918	161	3615
