Assembly	# misassemblies	    # relocations	    # translocations	    # inversions	# possibly misassembled contigs	# misassembled contigs	Misassembled contigs length	# local misassemblies	# structural variations	# mismatches	# indels	    # short indels	    # long indels	Indels length
IDBA_UD	1	1	0	0	3	1	748	0	0	2873	110	96	14	276
Ray	0	0	0	0	3	0	0	0	0	430	11	9	2	23
SOAPdenovo2	0	0	0	0	3	0	0	45	0	232	2	2	0	2
SPAdes	2	2	0	0	16	2	2675	3	0	5006	371	249	122	1965
