Assembly	# misassemblies	    # relocations	    # translocations	    # inversions	# possibly misassembled contigs	# misassembled contigs	Misassembled contigs length	# local misassemblies	# structural variations	# mismatches	# indels	    # short indels	    # long indels	Indels length
IDBA_UD	4	3	0	1	10	2	4341	1	0	1213	58	55	3	135
Ray	0	0	0	0	4	0	0	2	0	352	2	2	0	2
SOAPdenovo2	0	0	0	0	1	0	0	5	0	204	4	4	0	5
SPAdes	3	3	0	0	5	2	13546	0	0	885	35	31	4	96
