Assembly	# misassemblies	    # relocations	    # translocations	    # inversions	# possibly misassembled contigs	# misassembled contigs	Misassembled contigs length	# local misassemblies	# structural variations	# mismatches	# indels	    # short indels	    # long indels	Indels length
Gold_Assembly	0	0	0	0	1	0	0	0	0	0	0	0	0	0
IDBA_UD	4	4	0	0	4	3	26795	1	0	347	14	9	5	116
Ray	0	0	0	0	0	0	0	33	0	143	5	5	0	10
SOAPdenovo2	3	3	0	0	0	3	22930	1	0	1925	343	149	194	2717
SPAdes	7	7	0	0	5	7	120057	8	0	2506	36	34	2	106
