Assembly	# misassemblies	    # relocations	    # translocations	    # inversions	# possibly misassembled contigs	# misassembled contigs	Misassembled contigs length	# local misassemblies	# structural variations	# mismatches	# indels	    # short indels	    # long indels	Indels length
IDBA_UD	11	10	0	1	45	6	37824	4	0	3002	105	97	8	252
Ray	3	3	0	0	21	2	5076	7	0	1184	19	19	0	25
SOAPdenovo2	5	5	0	0	9	5	9945	23	0	1297	19	19	0	31
SPAdes	3	3	0	0	51	3	16246	4	0	3647	110	81	29	485
