Assembly	# misassemblies	    # relocations	    # translocations	    # inversions	# possibly misassembled contigs	# misassembled contigs	Misassembled contigs length	# local misassemblies	# structural variations	# mismatches	# indels	    # short indels	    # long indels	Indels length
IDBA_UD	1	0	1	0	21	1	825	4	0	11376	181	162	19	621
Ray	13	1	12	0	42	4	179866	6	0	20447	459	440	19	754
SOAPdenovo2	0	0	0	0	2	0	0	1	0	6644	121	109	12	289
SPAdes	6	0	6	0	22	6	30076	1	0	14088	296	287	9	549
