Assembly	# misassemblies	    # relocations	    # translocations	    # inversions	# possibly misassembled contigs	# misassembled contigs	Misassembled contigs length	# local misassemblies	# structural variations	# mismatches	# indels	    # short indels	    # long indels	Indels length
IDBA_UD	8	1	6	1	14	7	9340	7	1	7382	131	126	5	242
Ray	1	1	0	0	14	1	502	1	0	1289	44	44	0	50
SOAPdenovo2	1	0	1	0	5	1	1508	3	0	662	5	2	3	128
SPAdes	4	1	3	0	8	4	4970	2	0	7226	108	105	3	149
