Assembly	# misassemblies	    # relocations	    # translocations	    # inversions	# possibly misassembled contigs	# misassembled contigs	Misassembled contigs length	# local misassemblies	# structural variations	# mismatches	# indels	    # short indels	    # long indels	Indels length
IDBA_UD	43	18	18	7	144	34	201859	33	0	49183	1689	1473	216	5111
Ray	6	4	2	0	4	2	90348	6	0	524	14	14	0	15
SOAPdenovo2	23	9	10	4	37	21	22731	2634	0	21907	343	312	31	737
SPAdes	55	20	32	3	275	41	402495	27	0	52466	1784	1511	273	5880
