Assembly	# misassemblies	    # relocations	    # translocations	    # inversions	# possibly misassembled contigs	# misassembled contigs	Misassembled contigs length	# local misassemblies	# structural variations	# mismatches	# indels	    # short indels	    # long indels	Indels length
Gold_Assembly	109	81	26	2	36	31	5529524	44	84	35010	1218	1080	138	4017
IDBA_UD	50	39	11	0	23	19	2881316	23	45	33284	1137	1009	128	3523
Ray	51	39	12	0	27	21	2727347	22	43	33477	1133	1006	127	3500
SOAPdenovo2	2	2	0	0	4	2	2283	2	15	14131	352	329	23	757
SPAdes	48	40	6	2	19	16	2811363	25	41	33598	1140	1012	128	3520
