Assembly	# misassemblies	    # relocations	    # translocations	    # inversions	# possibly misassembled contigs	# misassembled contigs	Misassembled contigs length	# local misassemblies	# structural variations	# mismatches	# indels	    # short indels	    # long indels	Indels length
IDBA_UD	5	4	1	0	31	5	25779	7	3	45143	512	469	43	1379
Ray	6	4	2	0	77	6	46011	126	1	41945	404	381	23	762
SOAPdenovo2	2	2	0	0	79	2	7396	24	0	13227	242	136	106	2529
SPAdes	12	8	4	0	45	11	83573	7	3	44190	671	584	87	2888
