Assembly	# misassemblies	    # relocations	    # translocations	    # inversions	# possibly misassembled contigs	# misassembled contigs	Misassembled contigs length	# local misassemblies	# structural variations	# mismatches	# indels	    # short indels	    # long indels	Indels length
Gold_Assembly	55	1	54	0	5	28	202757	12	0	12091	1178	754	424	7516
IDBA_UD	38	1	37	0	63	35	48560	4	0	13601	548	424	124	2185
Ray	0	0	0	0	0	0	0	0	0	978	37	35	2	84
SOAPdenovo2	0	0	0	0	0	0	0	2	0	9388	909	502	407	5756
SPAdes	13	1	12	0	45	12	18893	4	0	26640	761	625	136	2453
