Assembly	# misassemblies	    # relocations	    # translocations	    # inversions	# possibly misassembled contigs	# misassembled contigs	Misassembled contigs length	# local misassemblies	# structural variations	# mismatches	# indels	    # short indels	    # long indels	Indels length
IDBA_UD	23	9	13	1	52	23	64886	9	1	31836	862	761	101	2543
Ray	1	0	1	0	2	1	1560	0	0	306	12	12	0	17
SOAPdenovo2	5	2	3	0	17	5	4830	756	0	6482	104	99	5	264
SPAdes	20	4	16	0	116	18	74662	8	0	29501	802	631	171	3170
