Assembly	# misassemblies	    # relocations	    # translocations	    # inversions	# possibly misassembled contigs	# misassembled contigs	Misassembled contigs length	# local misassemblies	# structural variations	# mismatches	# indels	    # short indels	    # long indels	Indels length
IDBA_UD	18	6	12	0	40	14	117364	10	4	14199	576	522	54	1433
Ray	11	5	6	0	33	8	151605	94	4	15198	322	302	20	651
SOAPdenovo2	7	2	3	2	16	7	14017	657	4	10084	178	166	12	428
SPAdes	30	19	10	1	70	19	454680	20	5	28700	994	865	129	2958
