Assembly	# misassemblies	    # relocations	    # translocations	    # inversions	# possibly misassembled contigs	# misassembled contigs	Misassembled contigs length	# local misassemblies	# structural variations	# mismatches	# indels	    # short indels	    # long indels	Indels length
IDBA_UD	38	31	7	0	23	19	2081286	21	15	67831	1619	1559	60	2827
Ray	23	17	6	0	46	19	376775	51	13	56972	1305	1262	43	2183
SOAPdenovo2	25	21	4	0	39	18	897858	21	10	60064	1573	1328	245	6612
SPAdes	35	27	8	0	28	19	1784864	19	15	67803	1624	1562	62	2881
