Assembly	# misassemblies	    # relocations	    # translocations	    # inversions	# possibly misassembled contigs	# misassembled contigs	Misassembled contigs length	# local misassemblies	# structural variations	# mismatches	# indels	    # short indels	    # long indels	Indels length
IDBA_UD	4	4	0	0	10	4	157402	2	0	13622	411	373	38	1000
Ray	9	9	0	0	18	6	231469	27	1	8642	144	134	10	328
SOAPdenovo2	0	0	0	0	1	0	0	1	0	4390	56	54	2	80
SPAdes	13	12	0	1	24	9	430056	8	1	18079	529	460	69	1514
