Assembly	# misassemblies	    # relocations	    # translocations	    # inversions	# possibly misassembled contigs	# misassembled contigs	Misassembled contigs length	# local misassemblies	# structural variations	# mismatches	# indels	    # short indels	    # long indels	Indels length
IDBA_UD	8	7	1	0	13	7	92801	3	0	12538	457	407	50	1224
Ray	2	1	1	0	7	2	90178	23	0	4933	122	112	10	297
SOAPdenovo2	0	0	0	0	2	0	0	136	0	5758	89	85	4	139
SPAdes	6	5	1	0	24	5	189136	4	0	12621	493	412	81	1566
