Assembly	# misassemblies	    # relocations	    # translocations	    # inversions	# possibly misassembled contigs	# misassembled contigs	Misassembled contigs length	# local misassemblies	# structural variations	# mismatches	# indels	    # short indels	    # long indels	Indels length
IDBA_UD	1	1	0	0	6	1	1762	2	0	2440	57	50	7	133
Ray	0	0	0	0	3	0	0	2	0	1968	63	62	1	160
SOAPdenovo2	0	0	0	0	0	0	0	41	0	1108	16	15	1	31
SPAdes	0	0	0	0	13	0	0	2	0	2706	88	77	11	304
