Assembly	Gold_Assembly	IDBA_UD	Ray	SOAPdenovo2	SPAdes
# fully unaligned contigs	0	0	0	0	0
Fully unaligned length	0	0	0	0	0
# partially unaligned contigs	0	162	0	1	92
    # with misassembly	0	1	0	0	1
    # both parts are significant	0	62	0	0	34
Partially unaligned length	0	220596	0	98	199420
# N's	0	0	0	2699	0
