Assembly	# misassemblies	    # relocations	    # translocations	    # inversions	# possibly misassembled contigs	# misassembled contigs	Misassembled contigs length	# local misassemblies	# structural variations	# mismatches	# indels	    # short indels	    # long indels	Indels length
IDBA_UD	1	0	0	1	11	1	7017	2	0	1843	73	66	7	233
Ray	0	0	0	0	4	0	0	5	0	360	8	8	0	8
SOAPdenovo2	1	1	0	0	3	1	1165	62	0	889	15	14	1	24
SPAdes	0	0	0	0	20	0	0	3	0	2108	74	63	11	217
