Assembly	SPAdes2.1	SPAdes2.2	SPAdes_latest	IDBA-UD_contig
# misassemblies	7	2	2	9
    # relocations	2	2	2	9
    # translocations	0	0	0	0
    # inversions	5	0	0	0
# misassembled contigs	7	2	2	9
Misassembled contigs length	29074	48672	50950	60128
# local misassemblies	3	15	8	14
# mismatches	528	541	605	189
# indels	34	47	44	11
    # short indels (<= 5 bp)	34	47	44	11
    # long indels (> 5 bp)	0	0	0	0
Indels length	39	57	53	13
