Assembly	# misassemblies	    # relocations	    # translocations	    # inversions	# possibly misassembled contigs	# misassembled contigs	Misassembled contigs length	# local misassemblies	# structural variations	# mismatches	# indels	    # short indels	    # long indels	Indels length
IDBA_UD	36	32	0	4	144	33	72686	48	18	21513	1089	934	155	3667
Ray	3	3	0	0	20	3	14824	21	1	1926	77	70	7	218
SOAPdenovo2	12	12	0	0	15	10	8916	1289	3	6747	132	124	8	335
SPAdes	35	35	0	0	285	28	86278	48	17	25478	1585	1236	349	6815
