Assembly	# misassemblies	    # relocations	    # translocations	    # inversions	# possibly misassembled contigs	# misassembled contigs	Misassembled contigs length	# local misassemblies	# structural variations	# mismatches	# indels	    # short indels	    # long indels	Indels length
IDBA_UD	0	0	0	0	1	0	0	0	0	1283	26	23	3	74
Ray	0	0	0	0	1	0	0	0	0	81	2	2	0	3
SOAPdenovo2	0	0	0	0	0	0	0	7	0	259	6	6	0	6
SPAdes	3	3	0	0	3	3	3319	0	0	2075	148	110	38	687
