Assembly	IDBA_UD	Ray	SOAPdenovo2	SPAdes
# misassemblies	2	1	1	1
    # relocations	1	1	1	1
    # translocations	0	0	0	0
    # inversions	1	0	0	0
# possibly misassembled contigs	9	4	4	16
# misassembled contigs	2	1	1	1
Misassembled contigs length	3040	564	860	2325
# local misassemblies	3	4	17	3
# structural variations	0	0	0	0
# mismatches	1852	182	438	2330
# indels	105	13	18	159
    # short indels	101	13	17	133
    # long indels	4	0	1	26
Indels length	160	14	28	467
