Assembly	# misassemblies	    # relocations	    # translocations	    # inversions	# possibly misassembled contigs	# misassembled contigs	Misassembled contigs length	# local misassemblies	# structural variations	# mismatches	# indels	    # short indels	    # long indels	Indels length
IDBA_UD	31	13	18	0	55	28	153846	49	15	26239	995	805	190	6138
Ray	63	39	24	0	51	43	913838	62	26	35680	1204	1115	89	2541
SOAPdenovo2	2	2	0	0	36	2	2689	33	5	10133	346	284	62	2198
SPAdes	39	35	4	0	50	30	649316	35	14	31216	988	917	71	3075
