Assembly	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# N's per 100 kbp
Gold_Assembly	3245	503	260	63	21	14210192	8966281	7268632	4132804	2695602	8478	567728	17773626	51.04	5203	1240	488	2450	0.00
IDBA_UD	2075	531	251	58	19	11849172	8447581	6499940	3552276	2185932	4169	310067	13243040	49.26	9679	2864	264	928	0.00
Ray	1980	399	189	55	23	10323715	7127068	5672113	3645129	2519902	3493	310180	11380695	49.27	9920	2490	191	804	11.79
SOAPdenovo2	3132	377	136	25	4	9508497	4152301	2521846	923900	246698	6016	73874	11534814	49.10	2860	1273	817	2371	42.78
SPAdes	1957	562	252	64	14	11734531	8610887	6409942	3565693	1900337	4481	309980	13383083	49.49	9182	2896	282	939	7.44
