Assembly	# misassemblies	    # relocations	    # translocations	    # inversions	# possibly misassembled contigs	# misassembled contigs	Misassembled contigs length	# local misassemblies	# structural variations	# mismatches	# indels	    # short indels	    # long indels	Indels length
IDBA_UD	17	5	9	3	12	16	15004	5	1	4506	137	129	8	262
Ray	1	0	1	0	8	1	507	1	0	616	22	21	1	35
SOAPdenovo2	1	0	1	0	7	1	11250	1	0	389	27	11	16	317
SPAdes	23	8	15	0	18	22	20306	4	1	5693	182	171	11	375
