Assembly	# misassemblies	    # relocations	    # translocations	    # inversions	# possibly misassembled contigs	# misassembled contigs	Misassembled contigs length	# local misassemblies	# structural variations	# mismatches	# indels	    # short indels	    # long indels	Indels length
IDBA_UD	3	3	0	0	7	1	50587	3	0	1333	19	16	3	48
Ray	3	3	0	0	6	1	34367	2	0	1181	11	8	3	38
SOAPdenovo2	1	1	0	0	3	1	1570	3	0	982	12	10	2	28
SPAdes	3	3	0	0	4	1	57182	3	0	1300	17	13	4	66
