Assembly	# misassemblies	    # relocations	    # translocations	    # inversions	# possibly misassembled contigs	# misassembled contigs	Misassembled contigs length	# local misassemblies	# structural variations	# mismatches	# indels	    # short indels	    # long indels	Indels length
IDBA_UD	12	12	0	0	61	11	29179	57	3	28526	584	508	76	2508
Ray	44	44	0	0	111	37	508578	67	11	41374	908	853	55	1872
SOAPdenovo2	2	2	0	0	35	2	6778	29	2	14768	271	244	27	1404
SPAdes	32	32	0	0	57	28	239131	17	3	29445	586	538	48	2131
