Assembly	# misassemblies	    # relocations	    # translocations	    # inversions	# possibly misassembled contigs	# misassembled contigs	Misassembled contigs length	# local misassemblies	# structural variations	# mismatches	# indels	    # short indels	    # long indels	Indels length
IDBA_UD	1	1	0	0	7	1	65305	0	1	620	19	17	2	54
Ray	0	0	0	0	5	0	0	10	0	523	6	6	0	12
SOAPdenovo2	1	1	0	0	5	1	2299	7	0	1046	27	26	1	74
SPAdes	0	0	0	0	9	0	0	0	0	877	36	33	3	95
