Assembly	SPAdes2.1	SPAdes2.2	SPAdes_latest	IDBA-UD_contig
# fully unaligned contigs	217	256	276	74
Fully unaligned length	450966	457844	456342	345968
# partially unaligned contigs	0	0	1	0
    # with misassembly	0	0	0	0
    # both parts are significant	0	0	1	0
Partially unaligned length	0	0	3173	0
# N's	0	0	0	0
