Assembly	IDBA_UD	Ray	SOAPdenovo2	SPAdes
# fully unaligned contigs	0	0	0	0
Fully unaligned length	0	0	0	0
# partially unaligned contigs	72	13	25	113
    # with misassembly	2	2	3	5
    # both parts are significant	14	3	4	20
Partially unaligned length	293703	79800	13175	445246
# N's	315	1520	2557	4557
